psi_1,psi_2,y2
0.1296,0.1296,-3.24
0.129024,0.129024,-3.22559
0.128446,0.128446,-3.21115
0.127868,0.127868,-3.19669
0.127289,0.127289,-3.18221
0.126708,0.126708,-3.16771
0.126127,0.126127,-3.15319
0.125546,0.125546,-3.13864
0.124963,0.124963,-3.12407
0.124379,0.124379,-3.10949
0.123795,0.123795,-3.09488
0.12321,0.12321,-3.08025
0.122624,0.122624,-3.06561
0.122038,0.122038,-3.05095
0.121451,0.121451,-3.03627
0.120863,0.120863,-3.02157
0.120274,0.120274,-3.00686
0.119685,0.119685,-2.99213
0.119095,0.119095,-2.97738
0.118505,0.118505,-2.96262
0.117914,0.117914,-2.94784
0.117322,0.117322,-2.93305
0.11673,0.11673,-2.91824
0.116137,0.116137,-2.90343
0.115544,0.115544,-2.88859
0.11495,0.11495,-2.87375
0.114356,0.114356,-2.85889
0.113761,0.113761,-2.84403
0.113166,0.113166,-2.82915
0.11257,0.11257,-2.81426
0.111974,0.111974,-2.79936
0.111378,0.111378,-2.78445
0.110781,0.110781,-2.76953
0.110184,0.110184,-2.75461
0.109587,0.109587,-2.73967
0.108989,0.108989,-2.72473
0.108391,0.108391,-2.70978
0.107793,0.107793,-2.69482
0.107194,0.107194,-2.67986
0.106596,0.106596,-2.66489
0.105997,0.105997,-2.64992
0.105398,0.105398,-2.63494
0.104798,0.104798,-2.61996
0.104199,0.104199,-2.60497
0.103599,0.103599,-2.58998
0.103,0.103,-2.57499
0.1024,0.1024,-2.55999
0.1018,0.1018,-2.545
0.1012,0.1012,-2.53
0.1006,0.1006,-2.515
0.1,0.1,-2.5
0.0994,0.0994,-2.485
0.0988,0.0988,-2.47
0.0982001,0.0982001,-2.455
0.0976002,0.0976002,-2.44
0.0970004,0.0970004,-2.42501
0.0964007,0.0964007,-2.41002
0.0958011,0.0958011,-2.39503
0.0952016,0.0952016,-2.38004
0.0946023,0.0946023,-2.36506
0.0940032,0.0940032,-2.35008
0.0934043,0.0934043,-2.33511
0.0928055,0.0928055,-2.32014
0.092207,0.092207,-2.30518
0.0916088,0.0916088,-2.29022
0.0910108,0.0910108,-2.27527
0.0904131,0.0904131,-2.26033
0.0898157,0.0898157,-2.24539
0.0892187,0.0892187,-2.23047
0.088622,0.088622,-2.21555
0.0880256,0.0880256,-2.20064
0.0874296,0.0874296,-2.18574
0.0868341,0.0868341,-2.17085
0.0862389,0.0862389,-2.15597
0.0856442,0.0856442,-2.14111
0.08505,0.08505,-2.12625
0.0844563,0.0844563,-2.11141
0.083863,0.083863,-2.09657
0.0832702,0.0832702,-2.08176
0.0826781,0.0826781,-2.06695
0.0820864,0.0820864,-2.05216
0.0814953,0.0814953,-2.03738
0.0809049,0.0809049,-2.02262
0.080315,0.080315,-2.00788
0.0797258,0.0797258,-1.99314
0.0791372,0.0791372,-1.97843
0.0785493,0.0785493,-1.96373
0.0779621,0.0779621,-1.94905
0.0773756,0.0773756,-1.93439
0.0767898,0.0767898,-1.91975
0.0762048,0.0762048,-1.90512
0.0756206,0.0756206,-1.89051
0.0750371,0.0750371,-1.87593
0.0744544,0.0744544,-1.86136
0.0738726,0.0738726,-1.84682
0.0732916,0.0732916,-1.83229
0.0727115,0.0727115,-1.81779
0.0721322,0.0721322,-1.80331
0.0715539,0.0715539,-1.78885
0.0709765,0.0709765,-1.77441
0.0704,0.0704,-1.76
0.0698245,0.0698245,-1.74561
0.06925,0.06925,-1.73125
0.0686764,0.0686764,-1.71691
0.0681039,0.0681039,-1.7026
0.0675324,0.0675324,-1.68831
0.066962,0.066962,-1.67405
0.0663926,0.0663926,-1.65982
0.0658244,0.0658244,-1.64561
0.0652572,0.0652572,-1.63143
0.0646912,0.0646912,-1.61728
0.0641263,0.0641263,-1.60316
0.0635627,0.0635627,-1.58907
0.0630002,0.0630002,-1.575
0.0624389,0.0624389,-1.56097
0.0618788,0.0618788,-1.54697
0.06132,0.06132,-1.533
0.0607625,0.0607625,-1.51906
0.0602062,0.0602062,-1.50515
0.0596512,0.0596512,-1.49128
0.0590976,0.0590976,-1.47744
0.0585453,0.0585453,-1.46363
0.0579944,0.0579944,-1.44986
0.0574448,0.0574448,-1.43612
0.0568967,0.0568967,-1.42242
0.05635,0.05635,-1.40875
0.0558047,0.0558047,-1.39512
0.0552609,0.0552609,-1.38152
0.0547186,0.0547186,-1.36796
0.0541777,0.0541777,-1.35444
0.0536384,0.0536384,-1.34096
0.0531006,0.0531006,-1.32752
0.0525644,0.0525644,-1.31411
0.0520297,0.0520297,-1.30074
0.0514967,0.0514967,-1.28742
0.0509652,0.0509652,-1.27413
0.0504354,0.0504354,-1.26088
0.0499072,0.0499072,-1.24768
0.0493807,0.0493807,-1.23452
0.0488559,0.0488559,-1.2214
0.0483328,0.0483328,-1.20832
0.0478114,0.0478114,-1.19529
0.0472918,0.0472918,-1.1823
0.0467739,0.0467739,-1.16935
0.0462579,0.0462579,-1.15645
0.0457436,0.0457436,-1.14359
0.0452311,0.0452311,-1.13078
0.0447206,0.0447206,-1.11801
0.0442118,0.0442118,-1.1053
0.043705,0.043705,-1.09262
0.0432,0.0432,-1.08
0.042697,0.042697,-1.06742
0.0421959,0.0421959,-1.0549
0.0416967,0.0416967,-1.04242
0.0411996,0.0411996,-1.02999
0.0407044,0.0407044,-1.01761
0.0402112,0.0402112,-1.00528
0.0397201,0.0397201,-0.993004
0.0392311,0.0392311,-0.980777
0.0387441,0.0387441,-0.968602
0.0382592,0.0382592,-0.95648
0.0377764,0.0377764,-0.944411
0.0372958,0.0372958,-0.932394
0.0368173,0.0368173,-0.920432
0.0363409,0.0363409,-0.908524
0.0358668,0.0358668,-0.89667
0.0353949,0.0353949,-0.884872
0.0349252,0.0349252,-0.873129
0.0344577,0.0344577,-0.861443
0.0339925,0.0339925,-0.849813
0.0335296,0.0335296,-0.83824
0.033069,0.033069,-0.826725
0.0326107,0.0326107,-0.815268
0.0321548,0.0321548,-0.803869
0.0317012,0.0317012,-0.79253
0.03125,0.03125,-0.78125
0.0308012,0.0308012,-0.77003
0.0303548,0.0303548,-0.758871
0.0299109,0.0299109,-0.747772
0.0294694,0.0294694,-0.736735
0.0290304,0.0290304,-0.72576
0.0285939,0.0285939,-0.714847
0.0281599,0.0281599,-0.703997
0.0277284,0.0277284,-0.693211
0.0272995,0.0272995,-0.682488
0.0268732,0.0268732,-0.67183
0.0264495,0.0264495,-0.661237
0.0260283,0.0260283,-0.650708
0.0256098,0.0256098,-0.640246
0.025194,0.025194,-0.629849
0.0247808,0.0247808,-0.61952
0.0243703,0.0243703,-0.609258
0.0239625,0.0239625,-0.599063
0.0235575,0.0235575,-0.588937
0.0231552,0.0231552,-0.578879
0.0227556,0.0227556,-0.56889
0.0223588,0.0223588,-0.558971
0.0219649,0.0219649,-0.549122
0.0215737,0.0215737,-0.539343
