x0,x1,x2,u
5.19486,5.64831,15.7574,0.000629843
5.19484,5.65523,15.8432,0.000799188
5.19483,5.66224,15.9279,0.000179176
5.19482,5.66936,16.0115,0.000360466
5.19481,5.67658,16.094,0.000502378
5.1948,5.68389,16.1753,0.000109165
5.1948,5.69131,16.2555,0.000119368
5.19481,5.69884,16.3344,-0.000309349
5.19482,5.70646,16.4122,-0.000294396
5.19482,5.7142,16.4887,2.83846e-06
5.19483,5.72204,16.564,-0.000564932
5.19484,5.72998,16.638,-0.000364831
5.19485,5.73804,16.7108,-0.000208085
5.19486,5.7462,16.7822,-0.000593288
5.19488,5.75447,16.8523,-0.00056874
5.19491,5.76286,16.9211,-0.000989078
5.19493,5.77135,16.9886,-0.000959175
5.19496,5.77996,17.0547,-0.000838905
5.19499,5.78868,17.1194,-0.00122482
5.19503,5.79752,17.1827,-0.00118413
5.19507,5.80647,17.2446,-0.00158667
5.19511,5.81553,17.3051,-0.00153797
5.19515,5.82472,17.3641,-0.00120668
5.1952,5.83402,17.4217,-0.00174799
5.19524,5.84343,17.4778,-0.00151272
5.1953,5.85297,17.5324,-0.00208279
5.19535,5.86262,17.5856,-0.00183893
5.19539,5.8724,17.6372,-0.00163577
5.19545,5.88229,17.6873,-0.0019785
5.1955,5.89231,17.7358,-0.00190698
5.19557,5.90245,17.7829,-0.00252881
5.19564,5.9127,17.8284,-0.00226967
5.19569,5.92308,17.8723,-0.00204803
5.19576,5.93359,17.9146,-0.00237216
5.19583,5.94421,17.9554,-0.00228153
5.1959,5.95496,17.9946,-0.00264054
5.19597,5.96583,18.0323,-0.00254433
5.19603,5.97682,18.0683,-0.0021654
5.19611,5.98794,18.1028,-0.00266468
5.19618,5.99918,18.1357,-0.00257671
5.19626,6.01054,18.167,-0.00292416
5.19634,6.02203,18.1968,-0.00280991
5.19641,6.03364,18.225,-0.00241197
5.19649,6.04537,18.2516,-0.00289269
5.19656,6.05723,18.2766,-0.00259077
5.19665,6.0692,18.3001,-0.00310048
5.19673,6.0813,18.3221,-0.00279001
5.1968,6.09352,18.3425,-0.00252049
5.19688,6.10586,18.3615,-0.00304318
5.19696,6.11832,18.3789,-0.00272663
5.19705,6.1309,18.3949,-0.00321987
5.19713,6.1436,18.4094,-0.00289134
5.1972,6.15641,18.4225,-0.0026035
5.19728,6.16934,18.4342,-0.00286825
5.19736,6.18239,18.4445,-0.00271334
5.19744,6.19555,18.4534,-0.00301398
5.19752,6.20883,18.4611,-0.00285403
5.1976,6.22221,18.4674,-0.0026035
5.19768,6.23571,18.4725,-0.00287079
5.19775,6.24931,18.4764,-0.00270144
5.19784,6.26303,18.4791,-0.00298652
5.19792,6.27684,18.4807,-0.00281002
5.19798,6.29077,18.4812,-0.00235104
5.19806,6.30479,18.4806,-0.00277838
5.19813,6.31891,18.479,-0.0026114
5.19821,6.33313,18.4765,-0.00288721
5.19829,6.34745,18.4731,-0.00269603
5.19835,6.36186,18.4689,-0.00222199
5.19843,6.37636,18.4639,-0.00263498
5.19849,6.39095,18.4582,-0.00225819
5.19856,6.40563,18.4518,-0.00270197
5.19864,6.42039,18.4448,-0.00251364
5.19869,6.43523,18.4373,-0.00203039
5.19876,6.45015,18.4293,-0.00243243
5.19882,6.46515,18.4209,-0.00204301
5.19889,6.48021,18.4121,-0.00247492
5.19895,6.49535,18.4032,-0.0020794
5.19899,6.51055,18.394,-0.00172732
5.19905,6.52582,18.3847,-0.00217724
5.1991,6.54114,18.3753,-0.00178033
5.19917,6.55652,18.366,-0.0022037
5.19922,6.57196,18.3568,-0.00179839
5.19928,6.58744,18.3478,-0.00221044
5.19933,6.60297,18.3391,-0.00179789
5.19937,6.61855,18.3306,-0.00142818
5.19942,6.63416,18.3226,-0.00185912
5.19946,6.64981,18.3151,-0.00144739
5.19951,6.66548,18.3082,-0.00185407
5.19955,6.68119,18.3019,-0.00143543
5.19958,6.69692,18.2964,-0.00106022
5.19962,6.71267,18.2916,-0.00124604
5.19965,6.72844,18.2878,-0.00100976
5.19969,6.74422,18.2849,-0.00148344
5.19972,6.76,18.283,-0.00106433
5.19974,6.77579,18.2822,-0.000687173
5.19976,6.79159,18.2826,-0.000871711
5.19978,6.80738,18.2843,-0.000633756
5.1998,6.82316,18.2872,-0.000860925
5.19982,6.83893,18.2916,-0.000624797
5.19983,6.85469,18.2974,-0.000301514
5.19984,6.87042,18.3047,-0.000506214
5.19985,6.88614,18.3136,-0.000271823
5.19987,6.90182,18.3241,-0.000501924
5.19987,6.91748,18.3363,-0.000267931
5.19987,6.9331,18.3503,0.000244738
5.19987,6.94869,18.366,-0.000140567
5.19987,6.96423,18.3836,7.26082e-05
5.19987,6.97973,18.4031,-0.000167847
5.19987,6.99518,18.4245,6.0785e-05
5.19986,7.01058,18.448,0.000568107
5.19985,7.02592,18.4734,0.000176474
5.19984,7.0412,18.5009,0.000383416
5.19984,7.05642,18.5304,0.000135758
5.19983,7.07157,18.5621,0.000357148
5.19982,7.08665,18.596,0.000117161
5.19981,7.10166,18.632,0.000340118
5.19979,7.1166,18.6702,0.000840954
5.19978,7.13145,18.7106,0.000444151
5.19976,7.14623,18.7532,0.000642368
5.19975,7.16092,18.7981,0.000386872
5.19973,7.17553,18.8452,0.000598361
5.1997,7.19004,18.8946,0.00108769
5.19968,7.20446,18.9462,0.000678139
5.19965,7.21879,19.0001,0.00105968
5.19964,7.23303,19.0563,0.000608503
5.19961,7.24716,19.1147,0.000790982
5.19958,7.26119,19.1753,0.00126279
5.19955,7.27512,19.2383,0.000837083
5.19952,7.28894,19.3034,0.00120467
5.1995,7.30266,19.3708,0.000738493
5.19948,7.31627,19.4404,0.000906469
5.19944,7.32976,19.5122,0.0013634
5.19941,7.34315,19.5861,0.00092178
5.19938,7.35642,19.6622,0.00127404
5.19935,7.36958,19.7405,0.00079147
5.19932,7.38262,19.8208,0.00113899
5.19928,7.39554,19.9033,0.00143667
5.19926,7.40834,19.9878,0.000919222
5.19922,7.42103,20.0743,0.00125203
5.1992,7.43359,20.1628,0.000751012
5.19917,7.44603,20.2533,0.00108168
5.19915,7.45835,20.3458,0.000581628
5.19913,7.47055,20.4401,0.000714061
5.1991,7.48262,20.5364,0.00113548
5.19908,7.49457,20.6344,0.000659476
5.19905,7.50639,20.7343,0.000974726
5.19904,7.51809,20.836,0.000456491
5.19902,7.52967,20.9394,0.000766057
5.19899,7.54112,21.0445,0.00102617
5.19898,7.55244,21.1512,0.000471998
5.19896,7.56364,21.2596,0.000765785
5.19895,7.57471,21.3696,0.00022696
5.19894,7.58566,21.4811,0.000518021
5.19892,7.59648,21.5941,0.000759394
5.19891,7.60718,21.7086,0.000185752
5.1989,7.61775,21.8246,0.00046101
5.1989,7.62819,21.942,-9.7248e-05
5.19889,7.63851,22.0607,0.000175252
5.19888,7.64871,22.1808,0.000397891
5.19888,7.65879,22.3021,4.78024e-05
5.19888,7.66874,22.4247,0.000122766
5.19889,7.67857,22.5486,-0.000525474
5.1989,7.68827,22.6736,-0.000273898
5.19893,7.69786,22.7998,-0.000851756
5.19894,7.70732,22.927,-0.000601045
5.19895,7.71667,23.0554,-0.000399183
5.19898,7.72589,23.1848,-0.00101088
5.199,7.735,23.3152,-0.000775878
5.19904,7.74399,23.4467,-0.00137255
5.19907,7.75286,23.579,-0.00114014
5.1991,7.76162,23.7123,-0.000956843
5.19914,7.77026,23.8464,-0.00134543
5.19917,7.77879,23.9814,-0.00130984
5.19923,7.7872,24.1172,-0.00199611
5.19928,7.7955,24.2539,-0.00178421
5.19933,7.8037,24.3912,-0.00161967
5.19938,7.81178,24.5294,-0.0020269
5.19944,7.81975,24.6682,-0.00200904
5.19952,7.82761,24.8077,-0.00271362
5.19959,7.83537,24.9479,-0.00251895
5.19967,7.84302,25.0887,-0.00315281
5.19976,7.85056,25.2301,-0.00295839
5.19984,7.858,25.372,-0.0028122
5.19993,7.86534,25.5146,-0.00323688
5.20002,7.87258,25.6576,-0.00323817
5.20013,7.87971,25.8012,-0.00395985
5.20023,7.88675,25.9452,-0.00378489
5.20034,7.89369,26.0897,-0.00365645
5.20045,7.90053,26.2347,-0.00409886
5.20057,7.90728,26.3801,-0.00411676
5.2007,7.91393,26.5259,-0.00485579
5.20084,7.92048,26.672,-0.00469683
5.20096,7.92695,26.8186,-0.00458456
5.20111,7.93332,26.9655,-0.00504364
5.20125,7.9396,27.1127,-0.00507741
5.20141,7.94579,27.2602,-0.00583301
5.20157,7.9519,27.408,-0.00568936
5.20173,7.95792,27.5561,-0.00559255
5.2019,7.96385,27.7045,-0.0060675
5.20207,7.9697,27.8531,-0.00611639
5.20226,7.97546,28.0019,-0.00663992
5.20244,7.98115,28.151,-0.00669609
5.20265,7.98675,28.3003,-0.0074675
5.20286,7.99227,28.4498,-0.0073404
5.20306,7.99771,28.5994,-0.00725897
5.20328,8.00307,28.7493,-0.00774768
5.2035,8.00836,28.8993,-0.00781186
5.20374,8.01357,29.0494,-0.00859625
5.20398,8.01871,29.1997,-0.00848296
5.20421,8.02377,29.3501,-0.00841561
5.20446,8.02876,29.5006,-0.00891901
5.20472,8.03368,29.6512,-0.00899698
5.20499,8.03853,29.8019,-0.00979596
5.20526,8.04331,29.9527,-0.0096959
5.20553,8.04803,30.1036,-0.00964198
5.20582,8.05267,30.2545,-0.0101593
5.20611,8.05725,30.4056,-0.0102503
5.20641,8.06177,30.5566,-0.0108155
5.20672,8.06622,30.7077,-0.010913
5.20702,8.07061,30.8589,-0.010926
5.20734,8.07493,31.0101,-0.0114755
5.20767,8.0792,31.1613,-0.0115814
5.20801,8.0834,31.3125,-0.0121599
5.20835,8.08755,31.4638,-0.0122695
5.20872,8.09163,31.615,-0.013094
5.20909,8.09566,31.7663,-0.0130192
5.20945,8.09964,31.9175,-0.0129895
5.20983,8.10355,32.0688,-0.0135297
5.21021,8.10742,32.22,-0.0136446
5.21061,8.11123,32.3712,-0.0142322
5.21101,8.11499,32.5224,-0.0143533
5.21142,8.11869,32.6736,-0.0143892
5.21184,8.12235,32.8247,-0.0149605
5.21226,8.12595,32.9758,-0.0150891
5.2127,8.12951,33.1269,-0.0156892
5.21314,8.13302,33.2779,-0.0158211
5.21359,8.13648,33.4289,-0.0158679
5.21405,8.13989,33.5798,-0.0164504
5.21452,8.14326,33.7307,-0.0165894
5.215,8.14658,33.8815,-0.0172004
5.21548,8.14986,34.0323,-0.0173426
5.21599,8.1531,34.183,-0.0181987
5.2165,8.15629,34.3336,-0.018156
5.21701,8.15944,34.4842,-0.0181578
5.21754,8.16255,34.6347,-0.0187288
5.21807,8.16562,34.7851,-0.0188746
5.21861,8.16865,34.9355,-0.0194926
5.21916,8.17164,35.0858,-0.019644
5.21972,8.17459,35.236,-0.0197098
5.22029,8.17751,35.3861,-0.0203105
5.22086,8.18039,35.5361,-0.0204685
5.22145,8.18323,35.6861,-0.0210975
5.22205,8.18604,35.836,-0.0212584
5.22265,8.18881,35.9858,-0.0213336
5.22326,8.19155,36.1355,-0.0219442
5.22388,8.19426,36.2852,-0.0221113
5.22452,8.19693,36.4347,-0.0227498
5.22516,8.19957,36.5842,-0.0229196
5.22583,8.20218,36.7335,-0.0238027
5.2265,8.20476,36.8828,-0.0237871
5.22717,8.20731,37.032,-0.0238155
5.22785,8.20983,37.181,-0.0244129
5.22854,8.21232,37.33,-0.024585
5.22925,8.21478,37.4789,-0.0252288
5.22996,8.21722,37.6277,-0.025406
5.23068,8.21962,37.7764,-0.0254973
5.23141,8.222,37.925,-0.0261232
5.23215,8.22436,38.0735,-0.0263063
5.2329,8.22669,38.2219,-0.02696
5.23366,8.22899,38.3702,-0.0271455
5.23443,8.23127,38.5184,-0.0272451
5.23521,8.23353,38.6665,-0.0278799
5.236,8.23576,38.8145,-0.0280709
5.2368,8.23797,38.9624,-0.0287332
5.23762,8.24016,39.1102,-0.0289265
5.23843,8.24232,39.2579,-0.029034
5.23926,8.24447,39.4055,-0.029677
5.2401,8.24659,39.553,-0.0298757
5.24096,8.24869,39.7004,-0.030546
5.24182,8.25078,39.8477,-0.0307468
5.2427,8.25284,39.9949,-0.0314143
5.24359,8.25489,40.142,-0.0316134
5.24448,8.25691,40.2889,-0.0317262
5.24539,8.25892,40.4358,-0.032373
5.2463,8.26091,40.5826,-0.0325772
5.24723,8.26289,40.7292,-0.0332514
5.24817,8.26484,40.8758,-0.0334577
5.24911,8.26678,41.0222,-0.0335777
5.25007,8.26871,41.1686,-0.0342324
5.25104,8.27062,41.3148,-0.0344438
5.25202,8.27251,41.4609,-0.0351258
5.25302,8.27439,41.6069,-0.035339
5.25401,8.27626,41.7529,-0.0354662
5.25502,8.27811,41.8987,-0.0361284
5.25604,8.27995,42.0444,-0.0363465
5.25708,8.28177,42.19,-0.0370358
5.25813,8.28359,42.3355,-0.0372557
5.25919,8.28539,42.4808,-0.0379419
5.26026,8.28718,42.6261,-0.0381599
5.26134,8.28895,42.7713,-0.0382913
5.26243,8.29072,42.9163,-0.0389563
5.26353,8.29247,43.0613,-0.0391789
5.26465,8.29422,43.2061,-0.0398712
5.26577,8.29595,43.3509,-0.0400957
5.2669,8.29767,43.4955,-0.0402337
5.26805,8.29939,43.64,-0.0409061
5.2692,8.30109,43.7844,-0.0411352
5.27038,8.30279,43.9287,-0.0418346
5.27156,8.30447,44.0729,-0.0420654
5.27274,8.30615,44.217,-0.0422099
5.27395,8.30783,44.3609,-0.0428892
5.27516,8.30949,44.5048,-0.0431245
5.27639,8.31114,44.6486,-0.0438308
5.27762,8.31279,44.7922,-0.0440677
5.27886,8.31444,44.9357,-0.0442183
5.28012,8.31607,45.0791,-0.0449043
5.28139,8.3177,45.2225,-0.0451456
5.28268,8.31932,45.3657,-0.0458583
5.28397,8.32094,45.5087,-0.046101
5.28528,8.32255,45.6517,-0.0468103
5.2866,8.32416,45.7946,-0.0470507
5.28793,8.32576,45.9373,-0.0472045
5.28927,8.32736,46.08,-0.0478922
5.29062,8.32895,46.2225,-0.0481369
5.292,8.33054,46.3649,-0.0488514
5.29337,8.33213,46.5072,-0.0490976
5.29476,8.33371,46.6494,-0.0492573
5.29616,8.33529,46.7915,-0.0499515
5.29757,8.33686,46.9335,-0.0502019
5.299,8.33844,47.0753,-0.0509229
5.30043,8.34001,47.217,-0.0511747
5.30187,8.34157,47.3587,-0.0513401
5.30333,8.34314,47.5002,-0.0520406
5.3048,8.3447,47.6416,-0.0522966
5.30629,8.34626,47.7828,-0.0530236
5.30779,8.34782,47.924,-0.0532809
5.3093,8.34938,48.065,-0.0540043
5.31082,8.35094,48.2059,-0.0542592
5.31239,8.35249,48.3467,-0.0559297
5.31401,8.35405,48.4874,-0.0576099
5.31568,8.3556,48.628,-0.0592997
5.31739,8.35716,48.7684,-0.0609996
5.31915,8.35871,48.9088,-0.0627095
5.32096,8.36027,49.049,-0.0644297
5.32282,8.36183,49.189,-0.0661604
5.32472,8.36339,49.329,-0.0679017
5.32668,8.36496,49.4688,-0.0696539
5.32869,8.36653,49.6085,-0.0714171
5.33074,8.36811,49.7481,-0.0731916
5.33285,8.36969,49.8876,-0.0749776
5.33501,8.37128,50.0269,-0.0767753
5.33721,8.37288,50.1661,-0.0785848
5.33947,8.37449,50.3051,-0.0804064
5.34179,8.3761,50.444,-0.0822403
5.34415,8.37772,50.5828,-0.0840867
5.34657,8.37936,50.7214,-0.0859459
5.34903,8.381,50.8599,-0.087818
5.35156,8.38266,50.9983,-0.0897033
5.35413,8.38433,51.1365,-0.0916021
5.35676,8.38601,51.2746,-0.0935145
5.35945,8.3877,51.4125,-0.0954408
5.36219,8.38941,51.5502,-0.0973812
5.36498,8.39114,51.6878,-0.0993359
5.36783,8.39288,51.8253,-0.101305
5.37074,8.39463,51.9626,-0.103289
5.3737,8.3964,52.0997,-0.105288
5.37672,8.39819,52.2367,-0.107303
5.3798,8.39999,52.3735,-0.109333
5.38294,8.40182,52.5101,-0.111378
5.38613,8.40366,52.6466,-0.113439
5.38939,8.40552,52.7829,-0.115517
5.3927,8.40741,52.919,-0.11761
5.39607,8.40931,53.0549,-0.11972
5.39951,8.41123,53.1907,-0.121847
5.403,8.41318,53.3263,-0.12399
5.40656,8.41515,53.4616,-0.12615
5.41017,8.41714,53.5968,-0.128328
5.41386,8.41916,53.7318,-0.130522
5.41755,8.4212,53.8666,-0.130841
5.42124,8.42327,54.0012,-0.130833
5.42492,8.42536,54.1356,-0.130705
5.42861,8.42748,54.2698,-0.130728
5.43229,8.42962,54.4037,-0.130582
5.43597,8.43179,54.5375,-0.130375
5.43964,8.43398,54.671,-0.130342
5.44331,8.43619,54.8043,-0.130145
5.44698,8.43843,54.9374,-0.130092
5.45065,8.44069,55.0703,-0.129866
5.45431,8.44297,55.2029,-0.129784
5.45796,8.44527,55.3353,-0.129528
5.46161,8.4476,55.4675,-0.129421
5.46525,8.44994,55.5994,-0.12934
5.4689,8.45231,55.7312,-0.129256
5.47254,8.45469,55.8626,-0.129158
5.47617,8.4571,55.9939,-0.12884
5.4798,8.45952,56.1249,-0.128665
5.48343,8.46197,56.2556,-0.128517
5.48705,8.46443,56.3861,-0.128367
5.49066,8.46691,56.5164,-0.128206
5.49428,8.46941,56.6464,-0.12823
5.49789,8.47192,56.7761,-0.128097
5.50147,8.47445,56.9056,-0.127052
5.50501,8.47701,57.0349,-0.125497
5.5085,8.47957,57.1639,-0.12393
5.51195,8.48216,57.2926,-0.122349
5.51535,8.48475,57.421,-0.120755
5.51871,8.48737,57.5492,-0.119148
5.52202,8.48999,57.6772,-0.117527
5.52529,8.49263,57.8048,-0.115893
5.5285,8.49528,57.9323,-0.114244
5.53167,8.49793,58.0594,-0.112581
5.5348,8.5006,58.1863,-0.110904
5.53787,8.50328,58.3129,-0.109212
5.5409,8.50596,58.4392,-0.107505
5.54388,8.50865,58.5653,-0.105783
5.5468,8.51135,58.6911,-0.104046
5.54968,8.51405,58.8167,-0.102293
5.55251,8.51675,58.9419,-0.100525
5.55529,8.51946,59.0669,-0.0987404
5.55802,8.52217,59.1917,-0.0969398
5.56069,8.52488,59.3161,-0.095123
5.56331,8.5276,59.4403,-0.0932898
5.56589,8.53031,59.5643,-0.0914399
5.5684,8.53302,59.6879,-0.0895733
5.57087,8.53574,59.8113,-0.0876898
5.57328,8.53844,59.9345,-0.0857892
5.57564,8.54115,60.0573,-0.0838716
5.57794,8.54385,60.1799,-0.0819367
5.58024,8.54655,60.3023,-0.0819332
5.58257,8.54924,60.4243,-0.0827326
5.58492,8.55192,60.5461,-0.0837857
5.58731,8.5546,60.6677,-0.0848559
5.58973,8.55727,60.7889,-0.0859109
5.59217,8.55993,60.91,-0.0869487
5.59464,8.5626,61.0307,-0.087969
5.59714,8.56526,61.1512,-0.0889716
5.59967,8.56791,61.2714,-0.0899566
5.60223,8.57056,61.3913,-0.0909239
5.60481,8.57321,61.5109,-0.0918736
5.60742,8.57586,61.6303,-0.0928055
5.61006,8.57851,61.7494,-0.0937198
5.61272,8.58115,61.8682,-0.0946166
5.61541,8.5838,61.9868,-0.095496
5.61812,8.58645,62.1051,-0.0963579
5.62085,8.58909,62.223,-0.0972027
5.62361,8.59174,62.3408,-0.0980303
5.62639,8.59439,62.4582,-0.0987933
5.62919,8.59704,62.5753,-0.0995827
5.63201,8.59969,62.6922,-0.100365
5.63486,8.60234,62.8087,-0.101132
5.63773,8.605,62.925,-0.101883
5.64061,8.60765,63.041,-0.102618
5.64352,8.61031,63.1567,-0.103337
5.64645,8.61298,63.2721,-0.10404
5.6494,8.61565,63.3872,-0.104704
5.65236,8.61832,63.502,-0.105374
5.65535,8.621,63.6165,-0.106033
5.65835,8.62368,63.7307,-0.10668
5.66137,8.62636,63.8446,-0.107311
5.66441,8.62905,63.9582,-0.107929
5.66747,8.63174,64.0715,-0.108522
5.67054,8.63444,64.1845,-0.109111
5.67363,8.63715,64.2972,-0.109688
5.67673,8.63986,64.4096,-0.110253
5.67986,8.64257,64.5217,-0.11101
5.68302,8.6453,64.6334,-0.112269
5.68622,8.64802,64.7449,-0.113573
5.68946,8.65076,64.856,-0.115105
5.69273,8.6535,64.9668,-0.116297
5.69604,8.65624,65.0773,-0.117436
5.69938,8.659,65.1875,-0.11853
5.70276,8.66176,65.2973,-0.119817
5.70616,8.66454,65.4068,-0.12083
5.70959,8.66732,65.516,-0.121773
5.71305,8.67011,65.6248,-0.122667
5.71654,8.67291,65.7334,-0.123744
5.72005,8.67572,65.8416,-0.124529
5.72356,8.67854,65.9494,-0.124705
5.72708,8.68137,66.0569,-0.124695
5.73059,8.68421,66.1641,-0.124627
5.7341,8.68707,66.2709,-0.124543
5.73761,8.68993,66.3773,-0.124459
5.74112,8.6928,66.4835,-0.12438
5.74462,8.69569,66.5892,-0.124308
5.74812,8.69858,66.6947,-0.124241
5.75162,8.70148,66.7997,-0.124182
5.75512,8.70439,66.9044,-0.124131
5.75862,8.70731,67.0088,-0.124087
5.76212,8.71024,67.1128,-0.12405
5.76561,8.71318,67.2164,-0.124014
5.76911,8.71613,67.3197,-0.123989
5.7726,8.71908,67.4226,-0.12397
5.77609,8.72205,67.5251,-0.123959
5.77959,8.72502,67.6273,-0.123953
5.78308,8.728,67.7291,-0.123946
5.78658,8.73099,67.8305,-0.12395
5.79007,8.73399,67.9316,-0.123961
5.79356,8.73699,68.0323,-0.123979
5.79706,8.74,68.1326,-0.123993
5.80055,8.74302,68.2325,-0.124018
5.80405,8.74605,68.3321,-0.12405
5.80755,8.74908,68.4312,-0.124088
