psi_1,psi_2,y2,psi_1d,psi_2d,y2d,action
0.0,0.0,-3.153906380652128e-17,-8.428728047544983e-17,-2.3982840794623676e-18,-2.4639893598844746e-16,2.4046172461684e-16
0.0,0.0,-3.351025529442886e-17,-8.428728047544951e-17,-2.3982840794623583e-18,-2.4639893598844746e-16,2.4046172461683907e-16
0.0,0.0,-3.548144678233644e-17,-8.428728047544916e-17,-2.3982840794623487e-18,-2.4639893598844746e-16,2.404617246168381e-16
0.0,0.0,-3.745263827024402e-17,-1.0114473657054005e-16,-2.8779408953548483e-18,-2.4639893598844746e-16,2.885540695402087e-16
0.0,0.0,-3.94238297581516e-17,-1.011447365705397e-16,-2.8779408953548383e-18,-2.4639893598844746e-16,2.885540695402077e-16
0.0,0.0,-4.139502124605918e-17,-1.0114473657053937e-16,-2.8779408953548287e-18,-2.4639893598844746e-16,2.885540695402068e-16
0.0,0.0,-4.336621273396676e-17,-1.1800219266563027e-16,-3.3575977112473287e-18,-2.4639893598844746e-16,3.366464144635774e-16
0.0,0.0,-4.533740422187434e-17,-1.1800219266562992e-16,-3.357597711247319e-18,-2.4639893598844746e-16,3.366464144635764e-16
0.0,0.0,-4.730859570978192e-17,-1.1800219266562958e-16,-3.357597711247309e-18,-2.4639893598844746e-16,3.366464144635755e-16
0.0,0.0,-4.92797871976895e-17,-1.3485964876071926e-16,-3.837254527139775e-18,-2.4639893598844746e-16,3.8473875938694266e-16
0.0,0.0,-5.125097868559708e-17,-1.3485964876071892e-16,-3.837254527139765e-18,-2.4639893598844746e-16,3.8473875938694167e-16
0.0,0.0,-5.322217017350466e-17,-1.3485964876071857e-16,-3.837254527139755e-18,-2.4639893598844746e-16,3.8473875938694073e-16
0.0,0.0,-5.519336166141224e-17,-1.5171710485580947e-16,-4.3169113430322555e-18,-2.4639893598844746e-16,4.3283110431031136e-16
0.0,0.0,-5.716455314931982e-17,-1.5171710485580913e-16,-4.3169113430322455e-18,-2.4639893598844746e-16,4.3283110431031037e-16
0.0,0.0,-5.913574463722741e-17,-1.517171048558088e-16,-4.316911343032236e-18,-2.4639893598844746e-16,4.3283110431030943e-16
0.0,0.0,-6.1106936125135e-17,-1.685745609508997e-16,-4.796568158924737e-18,-2.4639893598844746e-16,4.809234492336801e-16
