x0,x1,x2,u
4.44838,3.69999,12.9687,0.0892726
4.43611,3.68899,13.0299,0.412671
4.43029,3.67813,13.0907,0.204489
4.41619,3.66705,13.1494,0.46594
4.40719,3.65611,13.2076,0.310445
4.40688,3.64532,13.2655,0.0109963
4.39091,3.6341,13.3202,0.51787
4.38533,3.62314,13.375,0.196381
4.38279,3.61218,13.4287,0.0902166
4.3703,3.60092,13.4799,0.419138
4.36438,3.58982,13.5306,0.208118
4.34999,3.57848,13.5792,0.473923
4.34165,3.5673,13.6273,0.289154
4.33773,3.55617,13.6745,0.139082
4.32446,3.54478,13.7194,0.441785
4.31844,3.53356,13.7639,0.211515
4.30404,3.52211,13.8062,0.474326
4.29489,3.51079,13.848,0.315658
4.29451,3.49963,13.8891,0.0133693
4.27823,3.48804,13.9274,0.525964
4.27554,3.47676,13.9657,0.0958017
4.25755,3.46509,14.0014,0.570425
4.25177,3.45373,14.0369,0.203211
4.24916,3.44237,14.0712,0.0926815
4.23648,3.43071,14.1035,0.424635
4.23143,3.41922,14.1349,0.178328
4.21082,3.40736,14.1641,0.63373
4.20502,3.39588,14.1931,0.20416
4.20238,3.38439,14.2209,0.0937292
4.18965,3.37262,14.2467,0.426236
4.18354,3.36099,14.2717,0.2145
4.16878,3.34913,14.2948,0.484449
4.15929,3.3374,14.317,0.326414
4.15868,3.32582,14.3383,0.0217327
4.14293,3.31384,14.3575,0.511797
4.13612,3.30206,14.3759,0.238174
4.12089,3.29007,14.3927,0.497489
4.11123,3.27822,14.4084,0.331801
4.11052,3.26652,14.4232,0.0253708
4.09359,3.2544,14.436,0.543192
4.0905,3.24259,14.4481,0.109735
4.07169,3.2304,14.4584,0.590703
4.0654,3.2185,14.4678,0.220646
4.06331,3.20663,14.4759,0.0745715
4.04431,3.19434,14.4825,0.595414
4.04102,3.18242,14.4881,0.11701
4.02191,3.17011,14.4922,0.598024
4.01546,3.1581,14.4952,0.226282
4.01225,3.1461,14.4969,0.113917
3.99862,3.13382,14.4974,0.452492
3.9918,3.12168,14.4966,0.238302
3.97596,3.10931,14.4946,0.514399
3.96647,3.0971,14.4913,0.326307
3.96158,3.08495,14.4867,0.172481
3.94677,3.07254,14.4811,0.485898
3.93962,3.06029,14.4741,0.249797
3.92342,3.04783,14.466,0.523764
3.91283,3.03551,14.4566,0.361187
3.91134,3.02334,14.4457,0.0530871
3.89413,3.01078,14.4342,0.550414
