psi_1,psi_2,y2
3.96002,3.35214,17.8947
3.9533,3.34294,17.9215
3.95077,3.33379,17.9472
3.93483,3.32432,17.9712
3.92782,3.31509,17.9943
3.9141,3.30572,18.0161
3.90739,3.29652,18.0369
3.90486,3.28736,18.0565
3.88893,3.27789,18.0746
3.88487,3.2687,18.0918
3.86841,3.25923,18.1076
3.86145,3.25002,18.1223
3.85887,3.24085,18.1359
3.84292,3.23137,18.1481
3.83886,3.22218,18.1592
3.8224,3.21271,18.169
3.81839,3.20354,18.1777
3.81365,3.19429,18.1852
3.79681,3.18478,18.1913
3.79272,3.17557,18.1964
3.77624,3.1661,18.2001
3.77223,3.15692,18.2027
3.75589,3.14747,18.2041
3.75196,3.13832,18.2043
3.74732,3.12908,18.2032
3.73061,3.11959,18.201
3.72659,3.1104,18.1975
3.71022,3.10094,18.1929
3.70629,3.09177,18.187
3.70165,3.08253,18.1799
3.68854,3.07309,18.1717
3.68178,3.0638,18.1621
3.66434,3.05429,18.1515
3.66036,3.04512,18.1395
3.6557,3.03586,18.1263
3.64257,3.02641,18.1121
3.63581,3.01711,18.0966
3.62204,3.00766,18.0799
3.61527,2.99838,18.062
3.60978,2.98909,18.0428
3.59635,2.97962,18.0226
3.58955,2.97031,18.001
3.57575,2.96086,17.9784
3.56897,2.95157,17.9544
3.56637,2.94233,17.9292
3.55025,2.93277,17.9032
3.54317,2.92345,17.8757
3.52928,2.91398,17.8472
3.52249,2.90469,17.8172
3.51988,2.89544,17.786
3.50375,2.88587,17.7542
3.49667,2.87655,17.7208
3.48277,2.86708,17.6864
3.47597,2.85778,17.6506
3.46225,2.84834,17.6138
3.45554,2.83907,17.5756
3.45302,2.82983,17.5361
3.437,2.82029,17.4962
3.42999,2.81098,17.4545
3.41618,2.80152,17.4121
3.40945,2.79224,17.3681
3.40691,2.783,17.3228
3.39086,2.77344,17.2772
3.38677,2.76417,17.2298
3.37018,2.75462,17.1819
3.36319,2.74533,17.1323
3.36057,2.73607,17.0814
3.34447,2.72651,17.0302
3.34037,2.71723,16.9771
3.32376,2.70768,16.9238
3.31676,2.69837,16.8685
3.31413,2.68911,16.8121
3.29801,2.67954,16.7555
3.2939,2.67026,16.6969
3.27726,2.6607,16.6382
3.27319,2.65144,16.5773
3.26838,2.6421,16.5157
3.25135,2.63249,16.4539
3.24719,2.6232,16.3899
3.23052,2.61364,16.3259
3.22644,2.60437,16.2597
3.20989,2.59483,16.1935
3.20295,2.58554,16.1253
3.20039,2.5763,16.0559
3.18435,2.56674,15.9867
3.18029,2.55747,15.9153
3.16373,2.54791,15.8441
3.15971,2.53866,15.7706
3.15496,2.52934,15.6965
3.138,2.51974,15.6224
3.13388,2.51046,15.5461
3.11727,2.5009,15.4699
3.11323,2.49164,15.3915
3.10847,2.48231,15.3124
3.09148,2.47271,15.2336
3.08735,2.46342,15.1524
3.07072,2.45385,15.0715
3.06667,2.44459,14.9883
3.06188,2.43525,14.9045
3.04852,2.4257,14.8208
