x0,x1,x2,u
4.44476,3.80887,14.2726,0.135617
4.43293,3.79922,14.3515,0.399426
4.42628,3.78972,14.4301,0.232846
4.41293,3.78003,14.5069,0.444111
4.40395,3.77048,14.5833,0.310136
4.40191,3.76108,14.6594,0.0723085
4.38718,3.75131,14.7328,0.483781
4.38094,3.74178,14.8064,0.219098
4.3771,3.73228,14.879,0.136058
4.36513,3.72251,14.9494,0.403351
4.3584,3.71289,15.0195,0.235473
4.34489,3.70308,15.0878,0.449047
4.33637,3.69344,15.1556,0.294879
4.33139,3.68385,15.2227,0.175773
4.31884,3.67404,15.2878,0.420786
4.31206,3.6644,15.3525,0.237257
4.29859,3.65456,15.4154,0.447756
4.28956,3.64488,15.4778,0.311748
4.28753,3.63534,15.5397,0.0722653
4.27272,3.62542,15.5991,0.485956
4.26862,3.6158,15.6585,0.145004
4.25242,3.60584,15.7156,0.523925
4.24605,3.59618,15.7726,0.223239
4.24227,3.58654,15.8286,0.134109
4.23035,3.57664,15.8826,0.401913
4.22441,3.56691,15.936,0.208905
4.20631,3.55685,15.9872,0.573147
4.19986,3.54715,16.0385,0.226066
4.1961,3.53747,16.0887,0.133346
4.18423,3.52754,16.137,0.400427
4.17758,3.51775,16.1845,0.232588
4.16412,3.50777,16.2304,0.447739
4.15503,3.49792,16.2754,0.313411
4.153,3.48823,16.3198,0.0720311
4.13883,3.47817,16.3619,0.468054
4.13162,3.46832,16.4035,0.251734
4.11788,3.45829,16.4434,0.45558
4.10874,3.4484,16.4825,0.314918
4.10674,3.43867,16.5208,0.071394
4.09191,3.42856,16.557,0.486375
4.08778,3.41874,16.5927,0.146077
4.07149,3.40858,16.6264,0.526387
4.06501,3.39872,16.6596,0.227055
4.06193,3.38889,16.6917,0.109396
4.04567,3.37868,16.7217,0.525463
4.04139,3.36881,16.7513,0.151545
4.02501,3.35861,16.779,0.528696
4.0185,3.3487,16.806,0.228122
4.01472,3.33881,16.8318,0.133835
4.00273,3.32867,16.8559,0.403982
3.99598,3.31866,16.8791,0.236403
3.98229,3.30846,16.9008,0.454104
3.97358,3.29841,16.9214,0.301145
3.96857,3.28843,16.9409,0.176732
3.95585,3.27821,16.9588,0.426026
3.94893,3.26816,16.9757,0.242003
3.93515,3.25792,16.9912,0.45666
3.9258,3.24781,17.0056,0.321753
3.92366,3.23786,17.0188,0.0761384
3.90927,3.22754,17.0305,0.474158
3.90186,3.21743,17.0412,0.258399
3.8878,3.20713,17.0504,0.464866
3.87836,3.19698,17.0585,0.32472
3.87619,3.18699,17.0654,0.0771137
3.86106,3.17661,17.0709,0.494814
